   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;MXE;Jump
$00;BRK;#IM;;2;7;;;1
$10;BPL;REL;;2;2;2;;2
$20;JSR;ABS;;3;6;;;1
$30;BMI;REL;;2;2;2;;2
$40;RTI;;;1;6;;;1
$50;BVC;REL;;2;2;2;;2
$60;RTS;;;1;6;;;1
$70;BVS;REL;;2;2;2;;2
$80;BRA;REL;;2;3;;;1
$90;BCC;REL;;2;2;2;;2
$A0;LDY;#IM;;2;2;;;
$B0;BCS;REL;;2;2;2;;2
$C0;CPY;#IM;;2;2;;;
$D0;BNE;REL;;2;2;2;;2
$E0;CPX;#IM;;2;2;;;
$F0;BEQ;REL;;2;2;2;;2
$01;ORA;(ZP,X);;2;6;;;
$11;ORA;(ZP),Y;;2;5;1;;
$21;AND;(ZP,X);;2;6;;;
$31;AND;(ZP),Y;;2;5;1;;
$41;EOR;(ZP,X);;2;6;;;
$51;EOR;(ZP),Y;;2;5;1;;
$61;ADC;(ZP,X);;2;6;;;
$71;ADC;(ZP),Y;;2;5;1;;
$81;STA;(ZP,X);;2;6;;;
$91;STA;(ZP),Y;;2;5;1;;
$A1;LDA;(ZP,X);;2;6;;;
$B1;LDA;(ZP),Y;;2;5;1;;
$C1;CMP;(ZP,X);;2;6;;;
$D1;CMP;(ZP),Y;;2;5;1;;
$E1;SBC;(ZP,X);;2;6;;;
$F1;SBC;(ZP),Y;;2;5;1;;
$02;NOP;#IM;1;2;2;;;
$12;ORA;(ZP);;2;5;;;
$22;NOP;#IM;1;2;2;;;
$32;AND;(ZP);;2;5;;;
$42;NOP;#IM;1;2;2;;;
$52;EOR;(ZP);;2;5;;;
$62;NOP;#IM;1;2;2;;;
$72;ADC;(ZP);;2;5;;;
$82;NOP;#IM;1;2;2;;;
$92;STA;(ZP);;2;5;;;
$A2;LDX;#IM;;2;2;;;
$B2;LDA;(ZP);;2;5;;;
$C2;NOP;#IM;1;2;2;;;
$D2;CMP;(ZP);;2;5;;;
$E2;NOP;#IM;1;2;2;;;
$F2;SBC;(ZP);;2;5;;;
$03;NOP;;1;1;1;;;
$13;NOP;;1;1;1;;;
$23;NOP;;1;1;1;;;
$33;NOP;;1;1;1;;;
$43;NOP;;1;1;1;;;
$53;NOP;;1;1;1;;;
$63;NOP;;1;1;1;;;
$73;NOP;;1;1;1;;;
$83;NOP;;1;1;1;;;
$93;NOP;;1;1;1;;;
$A3;NOP;;1;1;1;;;
$B3;NOP;;1;1;1;;;
$C3;NOP;;1;1;1;;;
$D3;NOP;;1;1;1;;;
$E3;NOP;;1;1;1;;;
$F3;NOP;;1;1;1;;;
$04;TSB;ZP;;2;5;;;
$14;TRB;ZP;;2;5;;;
$24;BIT;ZP;;2;3;;;
$34;BIT;ZP,X;;2;4;;;
$44;NOP;ZP;1;2;3;;;
$54;NOP;ZP,X;1;2;4;;;
$64;STZ;ZP;;2;3;;;
$74;STZ;ZP,X;;2;4;;;
$84;STY;ZP;;2;3;;;
$94;STY;ZP,X;;2;4;;;
$A4;LDY;ZP;;2;3;;;
$B4;LDY;ZP,X;;2;4;;;
$C4;CPY;ZP;;2;3;;;
$D4;NOP;ZP,X;1;2;4;;;
$E4;CPX;ZP;;2;3;;;
$F4;NOP;ZP,X;1;2;4;;;
$05;ORA;ZP;;2;3;;;
$15;ORA;ZP,X;;2;4;;;
$25;AND;ZP;;2;3;;;
$35;AND;ZP,X;;2;4;;;
$45;EOR;ZP;;2;3;;;
$55;EOR;ZP,X;;2;4;;;
$65;ADC;ZP;;2;3;;;
$75;ADC;ZP,X;;2;4;;;
$85;STA;ZP;;2;3;;;
$95;STA;ZP,X;;2;4;;;
$A5;LDA;ZP;;2;3;;;
$B5;LDA;ZP,X;;2;4;;;
$C5;CMP;ZP;;2;3;;;
$D5;CMP;ZP,X;;2;4;;;
$E5;SBC;ZP;;2;3;;;
$F5;SBC;ZP,X;;2;4;;;
$06;ASL;ZP;;2;5;;;
$16;ASL;ZP,X;;2;6;;;
